SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
869923,0.5776471163636363,19.0,17.0,2.0,24.0,10.0,14.0,5.0,-7.0,12.0,explore
879404,0.5800194763380282,27.0,13.0,14.0,29.0,10.0,19.0,2.0,-3.0,5.0,control
884325,0.5876124015068492,23.0,8.0,15.0,18.0,6.0,12.0,-5.0,-2.0,-3.0,explore
902133,0.569253195079365,22.0,12.0,10.0,23.0,8.0,15.0,1.0,-4.0,5.0,control
903981,0.5484435553333333,24.0,12.0,12.0,17.0,8.0,9.0,-7.0,-4.0,-3.0,explore
910349,0.5676010478723404,25.0,12.0,13.0,23.0,6.0,17.0,-2.0,-6.0,4.0,exploit
911655,0.57335886776,19.0,12.0,7.0,21.0,8.0,13.0,2.0,-4.0,6.0,explore
916157,0.5794669744594595,18.0,17.0,1.0,14.0,7.0,7.0,-4.0,-10.0,6.0,exploit
921274,0.5760181744642857,18.0,19.0,-1.0,19.0,6.0,13.0,1.0,-13.0,14.0,explore
923365,0.5658349885185184,19.0,12.0,7.0,15.0,11.0,4.0,-4.0,-1.0,-3.0,exploit
924497,0.5748931626470588,26.0,14.0,12.0,28.0,10.0,18.0,2.0,-4.0,6.0,explore
925154,0.593335885882353,23.0,12.0,11.0,22.0,12.0,10.0,-1.0,0.0,-1.0,explore
928513,0.5611867558823529,24.0,17.0,7.0,30.0,6.0,24.0,6.0,-11.0,17.0,exploit
931415,0.5697346244444444,22.0,19.0,3.0,16.0,6.0,10.0,-6.0,-13.0,7.0,explore
932208,0.6041036164285715,21.0,15.0,6.0,23.0,11.0,12.0,2.0,-4.0,6.0,exploit
939559,0.6231144808823529,22.0,17.0,5.0,20.0,6.0,14.0,-2.0,-11.0,9.0,explore
942298,0.5931836138095238,24.0,16.0,8.0,26.0,13.0,13.0,2.0,-3.0,5.0,explore
944735,0.584597396031746,24.0,12.0,12.0,27.0,12.0,15.0,3.0,0.0,3.0,exploit
947980,0.5615509119354839,24.0,16.0,8.0,27.0,7.0,20.0,3.0,-9.0,12.0,control
951397,0.5788117652054795,25.0,19.0,6.0,19.0,12.0,7.0,-6.0,-7.0,1.0,explore
952103,0.5696147241414141,23.0,18.0,5.0,23.0,6.0,17.0,0.0,-12.0,12.0,exploit
953646,0.5854392075280899,26.0,17.0,9.0,11.0,9.0,2.0,-15.0,-8.0,-7.0,explore
953732,0.6060749564,23.0,13.0,10.0,20.0,6.0,14.0,-3.0,-7.0,4.0,exploit
960096,0.5712693625925925,23.0,14.0,9.0,19.0,6.0,13.0,-4.0,-8.0,4.0,control
963934,0.5767382256521739,24.0,12.0,12.0,25.0,7.0,18.0,1.0,-5.0,6.0,explore
966678,0.5785036144444445,20.0,18.0,2.0,23.0,6.0,17.0,3.0,-12.0,15.0,explore
976819,0.5735777242857143,24.0,12.0,12.0,18.0,12.0,6.0,-6.0,0.0,-6.0,control
977710,0.5836040858823529,22.0,13.0,9.0,22.0,12.0,10.0,0.0,-1.0,1.0,control
981044,0.5800310546478873,17.0,17.0,0.0,17.0,6.0,11.0,0.0,-11.0,11.0,exploit
981471,0.5791248466666666,20.0,15.0,5.0,24.0,6.0,18.0,4.0,-9.0,13.0,explore
989044,0.574983149868421,25.0,10.0,15.0,21.0,6.0,15.0,-4.0,-4.0,0.0,control
