SubID,mean_sts_score,social_connectedness,satisfaction_life,psychological_richness,condition
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
16853,0.5751547912142857,76.66666666666667,36.0,38.0,exploit
