SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
382505,0.5800025,22.0,16.0,6.0,9.0,6.0,3.0,-13.0,-10.0,-3.0,exploit
390594,0.5609438,19.0,20.0,-1.0,27.0,6.0,21.0,8.0,-14.0,22.0,exploit
391638,0.5805922,25.0,14.0,11.0,26.0,7.0,19.0,1.0,-7.0,8.0,exploit
396840,0.5840537,20.0,15.0,5.0,24.0,7.0,17.0,4.0,-8.0,12.0,control
397901,0.5959632,20.0,17.0,3.0,30.0,10.0,20.0,10.0,-7.0,17.0,explore
404045,0.57855207,20.0,11.0,9.0,20.0,9.0,11.0,0.0,-2.0,2.0,explore
410784,0.5876166,26.0,11.0,15.0,29.0,8.0,21.0,3.0,-3.0,6.0,control
426733,0.5527398,23.0,12.0,11.0,20.0,7.0,13.0,-3.0,-5.0,2.0,exploit
431861,0.6054249,23.0,14.0,9.0,23.0,6.0,17.0,0.0,-8.0,8.0,control
432681,0.55597496,18.0,15.0,3.0,16.0,6.0,10.0,-2.0,-9.0,7.0,exploit
440821,0.6032361,23.0,15.0,8.0,21.0,9.0,12.0,-2.0,-6.0,4.0,exploit
442605,0.5699282,16.0,23.0,-7.0,18.0,10.0,8.0,2.0,-13.0,15.0,control
445304,0.5818846,18.0,17.0,1.0,30.0,6.0,24.0,12.0,-11.0,23.0,exploit
448989,0.5941577,22.0,14.0,8.0,25.0,12.0,13.0,3.0,-2.0,5.0,explore
451102,0.570707,23.0,11.0,12.0,18.0,6.0,12.0,-5.0,-5.0,0.0,explore
461714,0.5756782,24.0,11.0,13.0,26.0,6.0,20.0,2.0,-5.0,7.0,exploit
464297,0.56942046,25.0,17.0,8.0,25.0,16.0,9.0,0.0,-1.0,1.0,control
465585,0.59093225,18.0,14.0,4.0,24.0,6.0,18.0,6.0,-8.0,14.0,explore
472913,0.5777654,28.0,11.0,17.0,21.0,8.0,13.0,-7.0,-3.0,-4.0,explore
476638,0.5732735,20.0,15.0,5.0,18.0,13.0,5.0,-2.0,-2.0,0.0,explore
481521,0.56199145,25.0,10.0,15.0,18.0,7.0,11.0,-7.0,-3.0,-4.0,control
482924,0.5699204,19.0,20.0,-1.0,28.0,11.0,17.0,9.0,-9.0,18.0,control
492825,0.5899506,21.0,16.0,5.0,21.0,12.0,9.0,0.0,-4.0,4.0,explore
495254,0.5844374,29.0,16.0,13.0,24.0,7.0,17.0,-5.0,-9.0,4.0,exploit
496751,0.5574555,26.0,10.0,16.0,19.0,13.0,6.0,-7.0,3.0,-10.0,control
